Sex,Embarked_Q,Title_Mrs,Pclass_1,Pclass_2,Transformed_Age,Transformed_Fare
1,0.0,0.0,0.0,0.0,17.7,2.57
1,0.0,0.0,0.0,0.0,11.65,2.4
0,0.0,1.0,0.0,0.0,23.62,3.56
0,0.0,1.0,0.0,1.0,15.91,4.63
1,0.0,0.0,0.0,1.0,14.06,3.37
1,0.0,0.0,0.0,1.0,13.11,3.62
0,0.0,0.0,1.0,0.0,11.15,4.65
1,0.0,0.0,1.0,0.0,19.44,6.12
1,0.0,0.0,0.0,0.0,9.61,2.81
1,0.0,0.0,1.0,0.0,13.59,7.06
0,0.0,1.0,0.0,0.0,15.45,3.64
0,0.0,0.0,0.0,0.0,12.63,2.54
0,0.0,1.0,0.0,0.0,13.59,3.71
1,1.0,0.0,0.0,0.0,11.15,2.33
1,0.0,0.0,0.0,1.0,10.64,3.17
1,0.0,0.0,0.0,1.0,11.15,5.32
1,0.0,0.0,0.0,0.0,14.99,2.55
0,0.0,0.0,0.0,0.0,5.72,5.18
1,0.0,0.0,0.0,1.0,19.23,4.63
1,0.0,0.0,0.0,1.0,21.56,3.37
1,0.0,0.0,0.0,1.0,25.22,3.31
0,0.0,1.0,1.0,0.0,12.63,6.64
1,0.0,0.0,0.0,0.0,27.0,2.6
1,0.0,0.0,0.0,0.0,20.93,3.56
1,0.0,0.0,0.0,0.0,14.3,2.45
1,0.0,0.0,1.0,0.0,25.22,6.45
0,1.0,0.0,0.0,0.0,9.61,2.54
1,0.0,0.0,0.0,0.0,16.36,2.6
1,0.0,0.0,0.0,0.0,14.3,2.71
1,0.0,0.0,0.0,0.0,8.82,6.74
1,0.0,0.0,0.0,0.0,22.39,3.74
0,0.0,1.0,0.0,1.0,20.72,3.7
1,0.0,0.0,0.0,0.0,14.53,2.55
1,0.0,0.0,0.0,0.0,10.13,2.71
1,0.0,0.0,0.0,0.0,0.0,5.48
1,0.0,0.0,0.0,0.0,5.72,4.18
0,0.0,1.0,1.0,0.0,18.58,6.2
0,0.0,1.0,0.0,0.0,22.8,4.76
1,0.0,0.0,1.0,0.0,23.41,4.62
1,0.0,0.0,0.0,0.0,15.45,6.26
1,0.0,0.0,1.0,0.0,29.12,5.13
1,1.0,0.0,0.0,0.0,2.47,4.85
0,0.0,0.0,0.0,0.0,0.0,3.11
1,0.0,0.0,0.0,0.0,12.14,2.58
1,0.0,0.0,1.0,0.0,27.2,4.95
1,0.0,0.0,0.0,0.0,10.64,2.56
1,0.0,0.0,0.0,0.0,2.47,4.59
0,0.0,0.0,1.0,0.0,24.83,4.82
1,0.0,0.0,0.0,1.0,16.36,3.37
1,0.0,0.0,0.0,0.0,19.01,-4.15
0,0.0,0.0,0.0,0.0,13.59,6.74
1,0.0,0.0,0.0,1.0,15.91,3.62
1,0.0,0.0,0.0,0.0,5.72,5.0
1,0.0,0.0,0.0,1.0,0.0,5.45
0,0.0,0.0,0.0,0.0,2.47,4.31
1,0.0,0.0,1.0,0.0,23.41,5.99
0,1.0,1.0,0.0,0.0,16.36,3.67
1,0.0,0.0,1.0,0.0,22.8,4.67
1,1.0,0.0,0.0,0.0,20.72,3.67
1,0.0,0.0,0.0,0.0,19.01,2.57
0,0.0,1.0,0.0,1.0,17.26,3.37
1,0.0,0.0,0.0,1.0,11.15,3.37
0,0.0,0.0,0.0,0.0,11.15,2.56
1,0.0,0.0,0.0,1.0,1.72,4.63
0,0.0,1.0,1.0,0.0,22.39,4.75
0,0.0,0.0,1.0,0.0,27.97,8.66
1,1.0,0.0,0.0,0.0,15.68,2.54
1,0.0,0.0,0.0,0.0,21.56,2.67
0,1.0,0.0,0.0,0.0,12.63,2.54
0,0.0,0.0,0.0,1.0,13.59,3.37
1,0.0,0.0,0.0,0.0,15.45,2.86
1,0.0,0.0,0.0,0.0,8.82,6.74
1,0.0,0.0,0.0,0.0,18.14,2.28
1,0.0,0.0,0.0,0.0,23.0,2.44
1,0.0,0.0,0.0,0.0,10.64,2.6
0,0.0,0.0,0.0,0.0,0.91,3.01
1,0.0,0.0,0.0,0.0,17.26,3.71
1,0.0,0.0,0.0,0.0,14.53,4.02
0,1.0,0.0,0.0,0.0,9.61,2.54
1,0.0,0.0,1.0,0.0,20.72,4.97
1,0.0,0.0,0.0,0.0,13.59,2.4
0,0.0,0.0,0.0,1.0,18.58,4.22
1,0.0,0.0,0.0,0.0,12.63,2.44
1,0.0,0.0,0.0,1.0,16.36,3.37
1,1.0,0.0,0.0,0.0,16.36,2.54
0,0.0,0.0,1.0,0.0,16.81,7.96
0,0.0,0.0,0.0,0.0,14.99,2.58
1,0.0,0.0,0.0,1.0,21.56,4.7
0,0.0,0.0,1.0,0.0,17.26,6.97
1,0.0,0.0,0.0,1.0,16.36,3.02
1,0.0,0.0,0.0,0.0,9.61,2.6
1,0.0,0.0,0.0,1.0,14.99,3.37
1,0.0,0.0,0.0,0.0,25.22,2.6
1,0.0,0.0,0.0,0.0,14.3,2.57
1,0.0,0.0,1.0,0.0,19.87,7.37
1,0.0,0.0,0.0,0.0,12.63,2.83
1,0.0,0.0,0.0,1.0,11.15,3.02
1,0.0,0.0,0.0,0.0,11.89,2.44
1,0.0,0.0,0.0,1.0,10.64,3.37
0,0.0,0.0,0.0,0.0,5.42,4.59
0,0.0,1.0,1.0,0.0,18.58,7.19
1,0.0,0.0,0.0,0.0,15.91,2.55
1,0.0,0.0,0.0,1.0,28.36,3.43
0,0.0,0.0,0.0,0.0,3.17,5.0
1,0.0,0.0,0.0,1.0,13.59,3.02
0,0.0,0.0,0.0,0.0,13.59,2.5
1,0.0,0.0,0.0,1.0,22.39,4.63
0,0.0,0.0,0.0,1.0,5.11,4.64
1,0.0,0.0,0.0,1.0,11.15,3.02
1,0.0,0.0,0.0,1.0,17.7,3.27
0,0.0,0.0,0.0,0.0,9.74,3.55
0,1.0,0.0,0.0,0.0,16.36,3.67
1,0.0,0.0,0.0,1.0,15.91,3.02
1,0.0,0.0,0.0,0.0,12.63,2.42
1,0.0,0.0,0.0,0.0,16.36,2.44
1,1.0,0.0,1.0,0.0,22.39,7.37
0,0.0,0.0,0.0,0.0,14.06,2.55
0,0.0,1.0,0.0,1.0,13.59,3.56
1,0.0,0.0,1.0,0.0,19.44,6.1
1,0.0,0.0,0.0,1.0,26.41,4.63
1,0.0,0.0,0.0,0.0,14.3,2.44
0,0.0,1.0,0.0,0.0,15.91,3.01
1,0.0,0.0,1.0,0.0,29.51,4.67
1,0.0,0.0,0.0,0.0,16.36,3.74
0,0.0,1.0,0.0,0.0,21.14,4.15
0,0.0,1.0,0.0,0.0,15.91,3.64
0,0.0,1.0,1.0,0.0,26.41,7.06
0,0.0,0.0,1.0,0.0,16.36,7.27
0,0.0,0.0,1.0,0.0,18.58,12.6
0,0.0,1.0,0.0,1.0,24.83,4.63
1,1.0,0.0,0.0,0.0,15.68,2.54
1,0.0,0.0,0.0,0.0,1.72,5.0
1,0.0,0.0,1.0,0.0,25.62,7.07
1,0.0,0.0,1.0,0.0,20.72,-4.15
0,1.0,0.0,0.0,0.0,12.14,2.54
1,0.0,0.0,0.0,1.0,19.01,3.02
1,0.0,0.0,0.0,0.0,9.61,5.48
1,0.0,0.0,0.0,0.0,14.06,2.55
0,0.0,1.0,1.0,0.0,27.97,8.78
0,0.0,0.0,1.0,0.0,18.58,8.44
1,0.0,0.0,1.0,0.0,23.41,4.97
1,0.0,0.0,0.0,0.0,14.06,-4.15
0,0.0,1.0,0.0,1.0,21.14,4.08
1,0.0,0.0,1.0,0.0,19.44,4.89
0,1.0,0.0,0.0,0.0,12.63,2.54
0,0.0,0.0,1.0,0.0,29.89,7.02
0,0.0,0.0,0.0,0.0,22.8,2.54
1,0.0,0.0,0.0,1.0,15.45,-4.15
1,1.0,0.0,0.0,0.0,4.49,4.85
0,0.0,1.0,0.0,0.0,18.58,4.15
1,1.0,0.0,0.0,0.0,30.64,2.54
1,0.0,0.0,0.0,0.0,15.45,2.56
1,0.0,0.0,0.0,0.0,9.61,2.86
1,0.0,0.0,0.0,0.0,11.15,2.6
1,0.0,0.0,1.0,0.0,23.41,4.63
1,0.0,0.0,0.0,0.0,17.7,2.71
1,0.0,0.0,0.0,0.0,16.36,2.86
1,0.0,0.0,0.0,0.0,12.63,2.57
1,0.0,0.0,0.0,1.0,21.56,3.37
0,1.0,0.0,0.0,0.0,12.63,2.54
0,0.0,0.0,1.0,0.0,14.53,7.05
0,0.0,1.0,1.0,0.0,11.15,7.4
1,0.0,0.0,0.0,1.0,19.01,3.35
0,0.0,0.0,0.0,0.0,13.59,2.75
1,0.0,0.0,0.0,0.0,13.59,2.57
1,0.0,0.0,1.0,0.0,20.3,4.75
1,0.0,0.0,0.0,0.0,13.35,2.44
0,0.0,0.0,1.0,0.0,0.91,8.75
1,0.0,0.0,1.0,0.0,19.01,4.94
0,0.0,1.0,1.0,0.0,24.83,10.19
0,1.0,0.0,0.0,0.0,12.63,2.54
1,1.0,0.0,0.0,0.0,2.47,4.41
1,0.0,0.0,0.0,0.0,11.15,-4.15
0,1.0,0.0,0.0,1.0,16.36,3.28
1,0.0,0.0,0.0,0.0,14.3,2.6
1,0.0,0.0,1.0,0.0,-0.08,8.75
0,0.0,0.0,1.0,0.0,18.58,7.91
0,0.0,1.0,1.0,0.0,10.13,7.86
1,0.0,0.0,0.0,1.0,16.36,4.47
0,0.0,0.0,1.0,0.0,16.36,6.28
0,0.0,0.0,1.0,0.0,13.59,7.18
0,0.0,0.0,1.0,0.0,10.64,10.37
0,0.0,1.0,0.0,1.0,14.53,4.63
1,0.0,0.0,0.0,0.0,15.45,2.57
1,0.0,0.0,0.0,1.0,21.97,4.64
0,0.0,0.0,0.0,0.0,14.53,2.56
0,0.0,1.0,0.0,1.0,13.59,4.63
1,0.0,0.0,0.0,1.0,26.41,3.5
0,0.0,0.0,1.0,0.0,16.81,8.99
0,0.0,1.0,1.0,0.0,20.72,8.42
1,0.0,0.0,0.0,0.0,12.63,2.44
1,0.0,0.0,0.0,0.0,14.99,2.57
0,1.0,0.0,0.0,1.0,16.36,3.28
0,0.0,1.0,0.0,1.0,12.63,4.84
1,0.0,0.0,0.0,0.0,8.82,6.74
0,0.0,0.0,1.0,0.0,19.01,8.44
1,0.0,0.0,0.0,0.0,29.12,2.22
0,0.0,1.0,0.0,1.0,19.01,3.37
0,0.0,1.0,0.0,0.0,16.81,4.18
0,0.0,0.0,1.0,0.0,9.61,6.32
0,1.0,0.0,0.0,0.0,14.53,4.41
1,0.0,0.0,1.0,0.0,23.0,4.81
1,0.0,0.0,1.0,0.0,19.87,8.78
1,0.0,0.0,0.0,0.0,9.61,3.94
0,0.0,1.0,1.0,0.0,18.58,8.4
1,0.0,0.0,0.0,0.0,14.3,2.57
1,0.0,0.0,1.0,0.0,15.91,6.64
0,0.0,0.0,1.0,0.0,21.14,8.42
1,0.0,0.0,0.0,0.0,22.8,2.6
1,0.0,0.0,1.0,0.0,22.8,5.25
1,0.0,0.0,0.0,1.0,0.91,4.63
0,0.0,0.0,1.0,0.0,13.59,10.37
1,0.0,0.0,0.0,1.0,15.45,3.37
1,0.0,0.0,0.0,1.0,14.06,3.37
1,0.0,0.0,0.0,1.0,19.01,3.37
0,0.0,0.0,0.0,1.0,13.59,3.37
0,0.0,0.0,0.0,1.0,20.72,3.37
0,0.0,1.0,0.0,0.0,14.99,3.74
1,0.0,0.0,0.0,0.0,1.72,3.72
1,0.0,0.0,0.0,0.0,21.56,2.71
1,0.0,0.0,0.0,0.0,13.11,2.81
1,0.0,0.0,1.0,0.0,23.41,5.22
1,0.0,0.0,0.0,0.0,9.09,2.44
1,0.0,0.0,0.0,0.0,14.06,3.92
1,0.0,0.0,0.0,0.0,14.41,2.44
1,0.0,0.0,0.0,0.0,15.45,2.86
0,0.0,0.0,1.0,0.0,12.63,6.2
0,0.0,0.0,0.0,1.0,19.87,3.37
0,1.0,0.0,0.0,0.0,12.63,2.57
0,1.0,0.0,0.0,0.0,12.63,2.57
1,0.0,0.0,0.0,0.0,20.72,4.76
1,0.0,0.0,0.0,1.0,15.91,4.75
0,0.0,1.0,0.0,0.0,22.8,3.55
1,0.0,0.0,0.0,0.0,18.58,2.4
1,1.0,0.0,0.0,0.0,16.36,3.67
1,0.0,0.0,0.0,0.0,16.36,2.44
0,0.0,1.0,1.0,0.0,28.74,6.93
0,0.0,1.0,0.0,0.0,19.87,2.44
0,1.0,0.0,0.0,0.0,12.63,2.54
0,0.0,1.0,1.0,0.0,13.59,6.74
1,0.0,0.0,1.0,0.0,14.06,6.22
1,0.0,0.0,0.0,0.0,10.64,2.28
1,0.0,0.0,0.0,0.0,11.15,2.6
1,0.0,0.0,1.0,0.0,12.63,8.44
0,0.0,0.0,0.0,0.0,1.72,4.23
0,0.0,1.0,1.0,0.0,22.59,7.15
0,0.0,0.0,0.0,0.0,12.63,2.44
1,0.0,0.0,1.0,0.0,14.99,9.71
1,0.0,0.0,0.0,0.0,11.65,1.61
1,0.0,0.0,0.0,0.0,11.15,2.55
0,0.0,0.0,1.0,0.0,21.56,9.93
0,0.0,0.0,0.0,0.0,0.0,3.7
1,0.0,0.0,0.0,0.0,17.26,2.58
0,0.0,1.0,1.0,0.0,18.58,6.07
1,0.0,0.0,0.0,0.0,14.3,2.57
1,0.0,0.0,0.0,1.0,10.64,6.88
1,0.0,0.0,0.0,0.0,0.0,5.84
0,0.0,0.0,0.0,1.0,19.01,3.37
1,1.0,0.0,0.0,0.0,15.68,2.54
0,0.0,0.0,0.0,1.0,10.13,3.24
1,0.0,0.0,1.0,0.0,19.01,8.11
1,0.0,0.0,0.0,0.0,12.14,2.55
1,0.0,0.0,0.0,0.0,15.45,2.58
0,0.0,0.0,1.0,0.0,13.11,7.96
0,0.0,1.0,0.0,0.0,13.59,3.8
1,0.0,0.0,0.0,0.0,12.63,2.55
0,0.0,0.0,0.0,0.0,16.81,2.56
1,0.0,0.0,0.0,1.0,23.21,4.63
1,0.0,0.0,0.0,1.0,13.11,3.02
0,0.0,1.0,0.0,1.0,15.45,3.32
1,0.0,0.0,0.0,0.0,20.3,2.58
1,0.0,0.0,0.0,0.0,14.53,2.6
0,0.0,0.0,0.0,0.0,12.14,2.91
1,0.0,0.0,0.0,0.0,15.45,3.71
0,0.0,0.0,0.0,0.0,11.65,2.71
1,0.0,0.0,0.0,1.0,18.14,4.22
1,0.0,0.0,0.0,0.0,25.22,2.54
1,0.0,0.0,0.0,1.0,1.72,4.01
1,0.0,0.0,0.0,0.0,12.14,2.55
0,0.0,0.0,0.0,0.0,5.42,4.59
1,0.0,0.0,0.0,0.0,14.3,2.57
1,1.0,0.0,0.0,0.0,15.68,2.36
0,1.0,0.0,1.0,0.0,17.7,7.37
1,0.0,0.0,0.0,1.0,15.45,-4.15
1,0.0,0.0,0.0,0.0,22.39,2.58
0,0.0,1.0,0.0,0.0,13.59,2.6
0,0.0,1.0,0.0,1.0,18.14,5.07
0,0.0,0.0,0.0,1.0,10.64,3.37
1,0.0,0.0,0.0,1.0,16.36,3.37
0,0.0,0.0,0.0,0.0,6.31,4.48
1,0.0,0.0,0.0,0.0,14.41,2.57
1,1.0,0.0,0.0,0.0,12.14,2.54
1,0.0,0.0,0.0,0.0,15.91,2.57
0,0.0,1.0,0.0,0.0,15.45,3.54
1,0.0,0.0,0.0,0.0,10.64,4.15
1,0.0,0.0,0.0,0.0,14.3,2.44
0,0.0,1.0,0.0,1.0,15.45,4.63
0,0.0,0.0,0.0,1.0,11.15,4.63
1,1.0,0.0,0.0,0.0,15.68,2.54
1,0.0,0.0,0.0,0.0,17.26,2.6
1,0.0,0.0,1.0,0.0,15.45,4.67
0,0.0,1.0,0.0,0.0,14.99,3.74
0,0.0,1.0,0.0,1.0,21.56,4.63
1,0.0,0.0,0.0,0.0,10.13,2.42
1,0.0,0.0,1.0,0.0,24.83,6.24
0,0.0,0.0,1.0,0.0,8.55,8.11
0,0.0,0.0,0.0,0.0,12.14,5.18
0,0.0,1.0,0.0,1.0,13.59,4.01
1,0.0,0.0,1.0,0.0,30.26,10.37
1,0.0,0.0,0.0,1.0,16.81,3.02
0,0.0,1.0,0.0,1.0,22.8,4.64
1,0.0,0.0,0.0,0.0,11.65,2.86
1,0.0,0.0,0.0,0.0,14.06,2.55
0,0.0,0.0,0.0,1.0,15.45,3.37
1,0.0,0.0,0.0,0.0,15.91,2.61
1,0.0,0.0,1.0,0.0,2.47,7.14
0,0.0,0.0,0.0,1.0,8.01,4.08
1,0.0,0.0,1.0,0.0,18.14,4.67
0,0.0,0.0,0.0,0.0,3.17,4.06
1,0.0,0.0,1.0,0.0,25.62,4.94
1,0.0,0.0,0.0,1.0,19.01,4.75
1,0.0,0.0,0.0,0.0,14.99,4.13
1,0.0,0.0,1.0,0.0,16.36,4.75
1,0.0,0.0,1.0,0.0,24.42,7.35
1,0.0,0.0,0.0,0.0,14.3,2.6
1,0.0,0.0,0.0,0.0,15.91,2.57
1,0.0,0.0,1.0,0.0,30.64,4.67
0,0.0,1.0,1.0,0.0,18.58,6.07
0,0.0,0.0,0.0,1.0,24.83,3.02
1,1.0,0.0,0.0,0.0,15.68,2.54
1,0.0,0.0,1.0,0.0,24.02,4.67
1,0.0,0.0,0.0,0.0,18.14,2.6
1,0.0,0.0,1.0,0.0,23.62,5.42
1,0.0,0.0,0.0,1.0,24.02,3.37
1,0.0,0.0,0.0,0.0,14.3,2.6
1,0.0,0.0,0.0,0.0,19.87,2.4
1,0.0,0.0,0.0,1.0,15.45,-4.15
1,0.0,0.0,1.0,0.0,27.2,4.67
1,1.0,0.0,0.0,0.0,15.68,2.54
0,0.0,0.0,0.0,0.0,-0.26,4.06
1,0.0,0.0,0.0,0.0,14.3,2.44
1,0.0,0.0,0.0,0.0,19.87,2.71
0,0.0,1.0,0.0,1.0,17.7,4.75
0,0.0,1.0,0.0,1.0,13.11,3.47
0,0.0,0.0,0.0,0.0,12.63,2.91
1,0.0,0.0,1.0,0.0,23.41,6.07
1,0.0,0.0,0.0,1.0,18.14,4.22
1,0.0,0.0,0.0,0.0,15.91,2.4
1,0.0,0.0,0.0,0.0,12.63,2.5
0,0.0,0.0,0.0,0.0,0.91,3.28
1,0.0,0.0,0.0,0.0,5.72,5.84
1,0.0,0.0,0.0,1.0,15.45,-4.15
1,0.0,0.0,0.0,0.0,24.83,2.6
0,0.0,1.0,0.0,0.0,29.89,2.87
1,0.0,0.0,1.0,0.0,14.06,7.4
0,0.0,0.0,0.0,0.0,5.42,4.59
0,0.0,1.0,1.0,0.0,18.58,7.37
1,0.0,0.0,1.0,0.0,27.97,4.89
1,0.0,0.0,0.0,0.0,16.36,2.6
1,0.0,0.0,0.0,0.0,5.72,3.72
1,0.0,0.0,0.0,0.0,14.99,4.13
1,0.0,0.0,0.0,0.0,12.14,2.44
1,0.0,0.0,1.0,0.0,26.8,4.94
1,0.0,0.0,1.0,0.0,32.88,5.96
1,0.0,0.0,0.0,0.0,12.14,2.6
1,0.0,0.0,0.0,0.0,14.41,3.55
0,0.0,0.0,1.0,0.0,26.41,7.03
1,0.0,0.0,0.0,0.0,14.3,3.63
0,0.0,1.0,1.0,0.0,14.06,8.75
1,0.0,0.0,0.0,0.0,13.59,2.55
1,0.0,0.0,0.0,0.0,10.13,2.71
0,1.0,0.0,0.0,0.0,12.14,2.54
0,1.0,0.0,0.0,0.0,12.14,2.52
0,0.0,0.0,0.0,0.0,19.44,2.87
0,0.0,0.0,1.0,0.0,9.61,7.27
1,0.0,0.0,1.0,0.0,10.64,7.86
0,0.0,1.0,0.0,1.0,17.7,4.63
1,0.0,0.0,1.0,0.0,19.01,4.67
1,0.0,0.0,0.0,0.0,15.45,4.35
1,0.0,0.0,0.0,0.0,14.53,6.26
1,1.0,0.0,0.0,0.0,15.91,2.54
1,0.0,0.0,0.0,0.0,14.3,2.6
1,0.0,0.0,1.0,0.0,19.01,4.65
0,0.0,1.0,1.0,0.0,26.41,6.38
1,0.0,0.0,0.0,0.0,13.59,2.49
1,0.0,0.0,1.0,0.0,23.62,5.16
0,0.0,1.0,0.0,1.0,18.14,3.02
1,1.0,0.0,0.0,0.0,15.68,4.48
0,0.0,1.0,0.0,1.0,19.01,4.63
1,0.0,0.0,0.0,0.0,17.26,2.57
0,0.0,0.0,1.0,0.0,16.36,7.47
1,0.0,0.0,0.0,0.0,12.63,2.57
1,0.0,0.0,0.0,0.0,14.41,2.44
0,0.0,1.0,1.0,0.0,22.39,6.32
1,0.0,0.0,0.0,0.0,14.41,2.44
1,1.0,0.0,0.0,0.0,20.93,2.54
0,0.0,0.0,0.0,1.0,24.83,3.02
1,0.0,0.0,1.0,0.0,23.41,9.85
1,0.0,0.0,0.0,0.0,20.3,2.58
1,0.0,0.0,0.0,1.0,13.11,3.17
0,0.0,0.0,0.0,1.0,0.91,4.63
1,0.0,0.0,0.0,0.0,14.41,2.44
1,0.0,0.0,0.0,0.0,10.13,2.44
0,0.0,1.0,0.0,0.0,11.15,4.34
